nx,ny,u,beta,n,j,betaj,d,spipi_dqmc,spi0_dqmc,s0pi_dqmc,s00_dqmc,ms2_z_dqmc,m2_su2_dqmc,Spipi_rpa,Spi0_rpa,S0pi_rpa,S00_rpa,ms2_z_rpa,m2_su2_rpa,alpha_norm
2,2,1.0,1.0,4,4.0,4.0,0.21188702,0.1440564899999999,0.1440564899999999,0.1440564899999999,0.1440564899999999,0.0360141224999999,0.1080423674999997,0.19975003325473278,0.12036864823503492,0.12036864823503492,0.13573863027519725,0.049937508313683196,0.14981252494104957,0.878512717591187
4,4,1.0,1.0,16,4.0,4.0,0.21894872,0.166466439322003,0.1419282587329306,0.1419282587329307,0.1117796032121357,0.0104041524576251,0.031212457372875303,0.1780890906189934,0.13877604808301167,0.13877604808301167,0.12113608837504833,0.011130568163687087,0.03339170449106126,0.6948444410074371
6,6,1.0,1.0,36,4.0,4.0,0.21913606,0.1848751888054382,0.1385269180709103,0.1385269180709103,0.0990191517680192,0.0051354219112621,0.0154062657337863,0.1785692460463367,0.1338742365043867,0.1338742365043867,0.12105074850402969,0.004960256834620464,0.014880770503861392,0.6996967712031473
2,2,1.0,4.0,4,4.0,16.0,0.18989493,0.155052535,0.155052535,0.155052535,0.155052535,0.03876313375,0.11628940125,0.3101049614292973,0.034456099932102066,0.034456099932102066,0.24119297870649853,0.07752624035732432,0.23257872107197297,0.2411927615650931
4,4,1.0,4.0,16,4.0,16.0,0.21196073,0.1921324183120593,0.1415090704206252,0.1415090704206252,0.1009279808466902,0.0120082761445037,0.036024828433511104,0.35417153553358693,0.17456016829365556,0.1745601682936556,0.20026289592550336,0.022135720970849183,0.06640716291254756,0.3328182990985754
6,6,1.0,4.0,36,4.0,16.0,0.21524999,0.2229606219903778,0.1386205537822289,0.1386205537822289,0.0740317733915975,0.0061933506108438,0.0185800518325314,0.36795843397642036,0.086840030052341,0.086840030052341,0.16293257944147507,0.010221067610456122,0.030663202831368364,0.39167216801005056
2,2,1.0,6.0,4,4.0,24.0,0.17935823,0.160320885,0.1603208849999999,0.1603208849999999,0.160320885,0.04008022125,0.12024066375,0.3647300132845631,0.012024066371353472,0.012024066371353472,0.25250539397273003,0.09118250332114078,0.27354750996342236,0.08416846460673709
4,4,1.0,6.0,16,4.0,24.0,0.20671022,0.197365479714793,0.1432661387945192,0.1432661387945192,0.1026818026961686,0.0123353424821745,0.0370060274465235,0.502409701091773,0.18717996893172645,0.18717996893172642,0.2727591308630029,0.03140060631823581,0.09420181895470743,0.21213010144254546
6,6,1.0,6.0,36,4.0,24.0,0.21226254,0.2299259809380909,0.1388368357382334,0.1388368357382334,0.0727737004076874,0.0063868328038358,0.019160498411507403,0.5261465496032589,0.06909958061566107,0.06909958061566107,0.22685132109296424,0.014615181933423859,0.04384554580027158,0.31331774036696836
2,2,4.0,1.0,4,1.0,1.0,0.1074882,0.1962558999999999,0.1962559,0.1962559,0.1962559,0.0490639749999999,0.1471919249999997,0.38235239925475906,0.12435722955733083,0.12435722955733083,0.1539567416305793,0.09558809981368976,0.2867642994410693,0.5345517605603904
4,4,4.0,1.0,16,1.0,1.0,0.13496431,0.2204466265840562,0.1808064711141455,0.1808064711141455,0.1480118111876527,0.0137779141615035,0.0413337424845105,0.37585575520473874,0.1688618681736382,0.1688618681736382,0.12386292227843808,0.02349098470029617,0.07047295410088851,0.3388969698812492
6,6,4.0,1.0,36,1.0,1.0,0.13546684,0.2424577241996077,0.1793103638962132,0.1793103638962132,0.1324603220874778,0.0067349367833224,0.0202048103499672,0.3760579793414483,0.15510856138608495,0.15510856138608495,0.12421896229267892,0.010446054981706898,0.03133816494512069,0.3453527736363679
2,2,4.0,4.0,4,1.0,4.0,0.07170713,0.214146435,0.214146435,0.214146435,0.214146435,0.05353660875,0.16060982625,0.8565857399996626,-0.4758807429325706,-0.4758807429325706,0.9517614858654786,0.21414643499991565,0.642439304999747,-1.9035238285835396
4,4,4.0,4.0,16,1.0,4.0,0.12009309,0.2762049361226263,0.1807715724799637,0.1807715724799637,0.1220657389174461,0.0172628085076641,0.0517884255229923,-0.20504074370449135,-0.3863615288640336,-0.3863615288640334,-0.31570564579165583,-0.01281504648153071,-0.03844513944459213,0.42244352963955434
6,6,4.0,4.0,36,1.0,4.0,0.12413798,0.3310061640513315,0.1743797628271168,0.1743797628271168,0.0913616486222988,0.0091946156680925,0.027583847004277497,-0.7419775788841397,0.9509127926536939,0.9509127926536939,-2.409185560466675,-0.020610488302337214,-0.06183146490701165,1.4361370964333873
2,2,4.0,6.0,4,1.0,6.0,0.07099836,0.2145008199999999,0.2145008199999999,0.2145008199999999,0.2145008199999999,0.0536252049999999,0.1608756149999997,1.3122403103241775,-0.9084740608541318,-0.9084740608541318,1.362711091384086,0.3280600775810444,0.9841802327431332,-3.6338962439652653
4,4,4.0,6.0,16,1.0,6.0,0.10730346,0.2764215084410211,0.1926550798444154,0.1926550798444154,0.1236614118701479,0.0172763442775638,0.0518290328326914,-0.12252961727313022,-0.16920387765604436,-0.1692038776560444,-0.14213045889131187,-0.007658101079570639,-0.022974303238711916,0.3158537438280792
6,6,4.0,6.0,36,1.0,6.0,0.1050344,0.3292874842383494,0.1900055702898526,0.1900055702898526,0.0897240829754367,0.0091468745621763,0.0274406236865289,-0.35125907273054463,0.5504842711279465,0.5504842711279465,-0.5217338339605562,-0.00975719646473735,-0.029271589394212053,0.8446041293738542
2,2,10.0,1.0,4,0.4,0.4,0.01603837,0.241980815,0.241980815,0.241980815,0.241980815,0.06049520375,0.18148561124999998,0.11761224715733332,0.3181017368132888,0.3181017368132888,0.214107539216089,0.02940306178933333,0.08820918536799999,-0.5412444538494904
4,4,10.0,1.0,16,0.4,0.4,0.03235547,0.2650428475137492,0.2350759553006815,0.2350759553006815,0.2000943018848877,0.0165651779696093,0.0496955339088279,0.1818844490224307,0.23223022074225078,0.23223022074225078,0.2841071557137138,0.011367778063901919,0.034103334191705754,-0.9273073731486774
6,6,10.0,1.0,36,0.4,0.4,0.03309914,0.2951205520645266,0.227485060025903,0.227485060025903,0.1851820325365722,0.0081977931129035,0.024593379338710496,0.18005121936402238,0.24247061904983944,0.24247061904983944,0.2841653260056822,0.005001422760111732,0.015004268280335199,-0.9149573132062245
2,2,10.0,4.0,4,0.4,1.6,0.01819553,0.240902235,0.2409022349999999,0.240902235,0.240902235,0.06022555875,0.18067667625,0.09401056191990101,0.3864882115291141,0.3864882115291141,0.09662195502187064,0.023502640479975252,0.07050792143992576,-0.7729757271618551
4,4,10.0,4.0,16,0.4,1.6,0.03144025,0.3085804550372951,0.2398707281017139,0.2398707281017139,0.148797588759277,0.0192862784398309,0.05785883531949271,0.1739308373832596,0.19763938809703802,0.19763938809703802,0.1910486955394599,0.010870677336453725,0.03261203200936118,-1.401933104441339
6,6,10.0,4.0,36,0.4,1.6,0.03187712,0.3416716154454616,0.2322974042640802,0.2322974042640802,0.1279655513845093,0.0094908782068183,0.0284726346204549,0.1760057403889089,0.3110885478754621,0.3110885478754621,0.2117464901846179,0.004889048344136358,0.014667145032409075,-1.396702920938797
2,2,10.0,6.0,4,0.4,2.4000000000000004,0.01971324,0.2401433799999999,0.24014338,0.24014338,0.24014338,0.0600358449999999,0.1801075349999997,0.08909820243720937,0.3906613492654295,0.3906613492654295,0.09015261903193154,0.022274550609302342,0.06682365182790703,-0.7813226982948914
4,4,10.0,6.0,16,0.4,2.4000000000000004,0.03317916,0.3128458019979042,0.238264585276132,0.238264585276132,0.1442667074498318,0.019552862624869,0.058658587874607,0.16955629517176643,0.1848824473286382,0.18488244732863818,0.17688714198647149,0.010597268448235402,0.03179180534470621,-1.4544156939971098
6,6,10.0,6.0,36,0.4,2.4000000000000004,-0.11054505,0.3772243420424773,0.3433280109275598,0.3433280109275598,0.1561692835397749,0.0104784539456243,0.0314353618368729,0.22874764785108795,0.4305053330524922,0.4305053330524922,0.2523363727458201,0.006354101329196888,0.019062303987590665,-1.922510706274095
